Make,Model,Price,Cylinders,Displacement,Super,Turbo,MPG_Low,MPG_High,Hp,Torque,RWD,AWD,FWD,Weight,Manual,Hp_per_ton,Cost_per_hp_per_ton
Subaru,Subaru_Outback_Onyx_XT,35145,4,2.4,0,1,23,26,260,277,0,1,0,3885,0,134,262
Subaru,Subaru_Legacy_XT,34495,4,2.4,0,1,24,32,260,277,0,1,0,3779,0,138,250
Subaru,Subaru_BRZ_Premium,27995,4,2.4,0,0,21,30,228,184,1,0,0,2815,1,162,173
Subaru,Subaru_WRX_Base,27495,4,2,0,1,20,27,268,258,0,1,0,3294,1,163,169
Subaru,Subaru_WRX_STI,37245,4,2.5,0,1,16,22,310,290,0,1,0,3450,1,180,207
Nissan,Nissan_GTR_Premium,113540,6,3.8,0,2,16,22,565,467,0,1,0,3935,0,287,396
Nissan,Nissan_GTR_NISMO,210740,6,3.8,0,2,16,22,600,481,0,1,0,3867,0,310,680
BMW,BMW_M3_Sedan,70100,6,3,0,1,16,23,473,406,1,0,0,3840,1,246,285
BMW,BMW_M3_Competition,77100,6,3,0,1,16,22,503,479,0,1,0,3890,0,259,298
BMW,BMW_M4_Coupe,72000,6,3,0,1,16,23,473,406,1,0,0,3830,1,247,291
BMW,BMW_M4_Competition,79000,6,3,0,1,15,22,503,479,0,1,0,3979,0,253,312
BMW,BMW_M5_Sedan,103700,8,4.4,0,1,0,21,600,553,1,1,0,4345,0,276,376
BMW,BMW_M8_Competition,130000,8,4.4,0,1,0,0,617,553,1,1,0,4295,0,287,453
BMW,BMW_M8_Gran_Coupe,130000,8,4.4,0,1,0,0,617,553,1,1,0,4480,0,275,473
Audi,Audi_TT_S,60200,4,2,0,1,23,31,288,280,0,1,0,3263,0,177,340
Audi,Audi_TT_RS,73200,5,2.5,0,1,20,29,394,354,0,1,0,0,0,0,0
Audi,Audi_S3,45800,4,2,0,1,23,32,306,295,0,1,0,0,0,0,0
Audi,Audi_S4,51900,6,3,0,1,21,30,349,369,0,1,0,3847,0,181,287
Audi,Audi_S5,55300,6,3,0,1,21,30,349,369,0,1,0,3858,0,181,306
Audi,Audi_RS5,75900,6,2.9,0,2,18,25,444,442,0,1,0,0,0,0,0
Audi,Audi_S6,74800,6,2.9,0,2,18,28,444,442,0,1,0,4486,0,198,378
Audi,Audi_RS6_Avant,116500,8,4,0,2,15,22,591,590,0,1,0,0,0,0,0
Audi,Audi_S7,84600,6,2.9,0,2,18,28,444,442,0,1,0,4597,0,193,438
Audi,Audi_RS7,118500,8,4,0,2,15,22,591,590,0,1,0,0,0,0,0
Audi,Audi_S8,116900,8,4,0,2,14,23,563,590,0,1,0,0,0,0,0
Audi,Audi_R8,148700,10,5.2,0,0,14,23,562,406,1,0,0,3571,0,315,472
VW,VW_Golf_GTI,29545,4,2,0,1,24,34,241,273,0,0,1,3113,1,155,191
VW,VW_Golf_R,43645,4,2,0,1,0,0,315,280,0,1,0,3417,1,184,237
Toyota,Toyota_GR86,27700,4,2.4,0,0,20,27,228,184,1,0,0,0,1,0,0
Toyota,Toyota_Supra_2.0,43290,4,2,0,1,25,32,255,295,1,0,0,3181,0,160,271
Toyota,Toyota_Supra_3.0,51640,6,3,0,1,22,30,382,368,1,0,0,3400,0,225,230
Hyundai,Hyundai_Veloster_N,32500,4,2,0,1,22,28,275,260,0,0,1,3106,1,177,184
Hyundai,Hyundai_Elantra_N,31900,4,2,0,1,22,31,276,289,0,0,1,3186,1,173,184
Hyundai,Hyundai_Sonata_N,33600,4,2.5,0,1,23,33,290,311,0,0,1,3552,0,163,206
Ford,Ford_Mustang_EcoBoost,27205,4,2.3,0,1,21,30,310,350,1,0,0,3492,1,178,153
Ford,Ford_Mustang_GT,37275,8,5,0,0,15,25,450,410,1,0,0,3730,1,241,155
Ford,Ford_Mustang_Mach_1,54000,8,5,0,0,15,23,470,410,1,0,0,3868,1,243,222
Ford,Ford_Mustang_Shelby_GT500,77155,8,5.2,1,0,12,18,760,625,1,0,0,0,1,0,0
Chevrolet,Chevrolet_Camaro_LT1,35195,8,6.2,0,0,16,24,455,455,1,0,0,3619,1,251,140
Chevrolet,Chevrolet_Camaro_1LS,26195,4,2,0,1,19,29,275,295,1,0,0,3351,1,164,160
Chevrolet,Chevrolet_Camaro_ZL1,64195,8,6.2,1,0,14,20,650,650,1,0,0,3907,1,333,193
Chevrolet,Chevrolet_Corvette_1LT,62195,8,6.2,0,0,16,24,490,465,1,0,0,3366,0,291,214
Dodge,Dodge_Charger_SXT,32500,6,3.6,0,0,19,30,292,260,1,1,0,3964,0,147,221
Dodge,Dodge_Charger_GT,35275,6,3.6,0,0,19,30,300,264,1,1,0,4073,0,147,240
Dodge,Dodge_Charger_RT,40895,8,5.7,0,0,16,25,370,395,1,0,0,4291,0,172,238
Dodge,Dodge_Charger_SCAT,46620,8,6.4,0,0,15,24,485,475,1,0,0,4385,0,221,211
Alfa_Romeo,Alfa_Romeo_Giulia_Sprint,43350,4,2,0,1,24,33,280,306,1,1,0,3521,0,159,273
Alfa_Romeo,Alfa_Romeo_Giulia_Quadrifoglio,80030,6,2.9,0,1,17,25,505,443,1,0,0,3806,0,265,302
